,provider,comp-rate,actual-val
0,University of Aberdeen,0.67,78.91
1,Abertay University,0.75,75.33
2,Aberystwyth University,0.76,81.77
3,Abingdon and Witney College,0.92,97.33
4,University Academy 92 Limited,0.83,72.34
5,Academy for Contemporary Circus and Physical Theatre,0.66,81.3
6,ACM Guildford Limited,0.69,53.11
7,Activate Learning,0.85,78.27
8,AECC University College,0.78,54.56
9,"College of Agriculture, Food and Rural Enterprise",0.74,57.07
10,All Nations Christian College Limited,0.8,84.74
11,Amity Global Education Ltd,0.77,84.37
12,Anglia Ruskin University Higher Education Corporation,0.68,72.14
13,Architectural Association (Incorporated),0.76,76.63
14,Arden University Limited,0.73,66.02
15,The School of Artisan Food,0.87,77.19
16,Arts Educational Schools(The),0.85,83.06
17,"Arts University Bournemouth, the",0.72,74.79
18,Arts University Plymouth,0.81,81.09
19,"University of the Arts, London",0.73,69.5
20,Ashton Sixth Form College,0.83,89.04
21,Askham Bryan College,0.88,77.98
22,Aston University,0.67,72.86
23,Backstage Academy (training) Ltd,0.64,61.98
24,Bangor University,0.65,77.28
25,Barnet & Southgate College,0.56,94.63
26,Barnsley College,0.85,83.13
27,Basingstoke College of Technology,1.0,95.89
28,The University of Bath,0.79,77.4
29,Bath Spa University,0.74,75.26
30,BCNO Limited,0.88,65.19
31,Bedford College,0.75,69.51
32,University of Bedfordshire,0.74,75.12
33,Belfast Metropolitan College,0.6,81.53
34,BIMM University Limited,0.73,60.07
35,Birkbeck College,0.67,71.19
36,The University of Birmingham,0.71,71.08
37,University College Birmingham,0.61,68.26
38,Birmingham City University,0.8,74.59
39,Birmingham Community Healthcare NHS Foundation Trust,0.64,58.04
40,Birmingham Metropolitan College,0.9,88.3
41,Bishop Auckland College,0.99,95.7
42,Bishop Burton College,0.68,75.48
43,Bishop Grosseteste University,0.81,77.56
44,Blackburn College,0.85,81.94
45,Blackpool and the Fylde College,0.67,80.65
46,Bloomsbury Institute Limited,0.77,79.94
47,The University of Bolton,0.69,79.55
48,Boston College,0.72,78.3
49,"Bournemouth and Poole College, The",0.9,86.85
50,Bournemouth University,0.73,71.04
51,BPP University Limited,0.63,62.45
52,The University of Bradford,0.73,70.28
53,Bradford College,0.77,82.3
54,Bridgend College,0.9,44.89
55,Bridgwater and Taunton College,0.81,76.43
56,University of Brighton,0.74,69.0
57,Brighton Academy Limited,0.87,89.7
58,Brighton Film School Ltd,0.52,54.0
59,University of Bristol,0.65,70.7
60,Brockenhurst College,0.9,72.74
61,Brunel University London,0.69,69.26
62,The University of Buckingham,0.75,75.37
63,Buckinghamshire New University,0.79,78.78
64,Burnley College,0.7,89.41
65,Burton and South Derbyshire College,0.68,74.11
66,Calderdale College,0.7,79.19
67,Coleg Cambria,0.57,82.91
68,Cambridge Arts & Sciences Limited,0.89,75.04
69,The Cambridge Theological Federation,0.66,82.11
70,Canterbury Christ Church University,0.71,73.38
71,Capel Manor College,0.9,48.67
72,Cardiff and Vale College,0.81,71.09
73,Cardiff Metropolitan University,0.72,69.94
74,Cardiff University,0.63,72.89
75,Cardinal Newman College,0.91,89.59
76,CECOS Computing International Limited,0.62,93.26
77,CECOS London Limited,0.59,88.07
78,Central Bedfordshire College,0.59,68.63
79,University of Central Lancashire,0.72,73.19
80,Central School of Ballet Charitable Trust Limited(the),0.8,86.85
81,University Centre Peterborough,0.79,92.23
82,Cheshire College South and West,0.74,79.65
83,University of Chester,0.63,71.45
84,The University of Chichester,0.74,78.81
85,Chichester College Group,0.86,78.76
