Provider,Level,Subject,Code,Predicted_28_Positivity,Predicted_28_Options,Prediction_Diff
England,All undergraduates,Medical sciences (non-specific),CAH01-01-01,77.2,74.4,-2.8
England,All undergraduates,Medicine (non-specific),CAH01-01-02,76.1,67.8,-8.3
England,All undergraduates,Medicine by specialism,CAH01-01-03,75.1,67,-8.1
England,All undergraduates,Dentistry,CAH01-01-04,74.9,67.1,-7.8
England,All undergraduates,Pharmacology,CAH02-02-01,83.1,78.1,-5
England,All undergraduates,Pharmacy,CAH02-02-03,81.1,75.9,-5.2
England,All undergraduates,Nursing (non-specific),CAH02-04-01,81.6,74.1,-7.5
England,All undergraduates,Adult nursing,CAH02-04-02,69.9,59.3,-10.6
England,All undergraduates,Midwifery,CAH02-04-04,73.9,64.9,-9
England,All undergraduates,Children's nursing,CAH02-04-05,69.5,58.6,-10.9
England,All undergraduates,Dental nursing,CAH02-04-06,68.8,55.2,-13.6
England,All undergraduates,Mental health nursing,CAH02-04-07,74.8,65.1,-9.7
England,All undergraduates,Learning disabilities nursing,CAH02-04-08,81.8,72.7,-9.1
England,All undergraduates,Medical technology,CAH02-05-01,80.7,72.8,-7.9
England,All undergraduates,Healthcare science (non-specific),CAH02-05-02,80.1,75.3,-4.8
England,All undergraduates,Biomedical sciences (non-specific),CAH02-05-03,77,69.6,-7.4
England,All undergraduates,"Anatomy, physiology and pathology",CAH02-05-04,83,77.2,-5.8
England,All undergraduates,Health sciences (non-specific),CAH02-06-01,77,67,-10
England,All undergraduates,Nutrition and dietetics,CAH02-06-02,83.4,78.6,-4.8
England,All undergraduates,Ophthalmics,CAH02-06-03,87.8,82.4,-5.4
England,All undergraduates,Environmental and public health,CAH02-06-04,82.6,72.5,-10.1
England,All undergraduates,Physiotherapy,CAH02-06-05,76.8,66,-10.8
England,All undergraduates,Complementary and alternative medicine,CAH02-06-06,75.8,65.8,-10
England,All undergraduates,"Counselling, psychotherapy and occupational therapy",CAH02-06-07,74.9,62.6,-12.3
England,All undergraduates,Biosciences (non-specific),CAH03-01-01,84.1,79.3,-4.8
England,All undergraduates,Biology (non-specific),CAH03-01-02,83.5,79.3,-4.2
England,All undergraduates,Ecology and environmental biology,CAH03-01-03,82.8,78.5,-4.3
England,All undergraduates,Microbiology and cell science,CAH03-01-04,83.8,79.2,-4.6
England,All undergraduates,Plant sciences,CAH03-01-05,82.2,85.2,3
England,All undergraduates,Zoology,CAH03-01-06,81.1,72.5,-8.6
England,All undergraduates,Genetics,CAH03-01-07,82.9,81.1,-1.8
England,All undergraduates,"Molecular biology, biophysics and biochemistry",CAH03-01-08,82.1,77.6,-4.5
England,All undergraduates,Hair and beauty sciences,CAH03-01-09,88,81,-7
England,All undergraduates,Others in biosciences,CAH03-01-10,81.7,75.1,-6.6
England,All undergraduates,Sport and exercise sciences,CAH03-02-01,86.4,80.8,-5.6
England,All undergraduates,Psychology (non-specific),CAH04-01-01,80.2,73,-7.2
England,All undergraduates,Applied psychology,CAH04-01-02,81.9,76.4,-5.5
England,All undergraduates,Developmental psychology,CAH04-01-03,80,73.2,-6.8
England,All undergraduates,Psychology and health,CAH04-01-04,78.5,70.8,-7.7
England,All undergraduates,Others in psychology,CAH04-01-05,74.2,65.5,-8.7
England,All undergraduates,Veterinary medicine and dentistry,CAH05-01-01,87.2,82.1,-5.1
England,All undergraduates,Others in veterinary sciences,CAH05-01-02,85.4,80.2,-5.2
England,All undergraduates,Animal science,CAH06-01-01,79.1,69,-10.1
England,All undergraduates,Agriculture,CAH06-01-03,80.2,69.6,-10.6
England,All undergraduates,Rural estate management,CAH06-01-04,87.4,81.7,-5.7
England,All undergraduates,Food and beverage studies (non-specific),CAH06-01-06,81.2,74,-7.2
England,All undergraduates,Food sciences,CAH06-01-07,86.9,82.6,-4.3
England,All undergraduates,Food and beverage production,CAH06-01-08,87,80.8,-6.2
England,All undergraduates,Physics,CAH07-01-01,82.5,77,-5.5
England,All undergraduates,Astronomy,CAH07-01-02,84.8,78.5,-6.3
England,All undergraduates,Chemistry,CAH07-02-01,82.9,77.6,-5.3
England,All undergraduates,Forensic and archaeological sciences,CAH07-04-02,81.8,76.2,-5.6
England,All undergraduates,Natural sciences (non-specific),CAH07-04-04,83.4,78,-5.4
England,All undergraduates,Mathematics,CAH09-01-01,82.3,77.3,-5
England,All undergraduates,Operational research,CAH09-01-02,90,83.6,-6.4
England,All undergraduates,Statistics,CAH09-01-03,83,77.4,-5.6
England,All undergraduates,Engineering (non-specific),CAH10-01-01,82.1,74.7,-7.4
England,All undergraduates,Mechanical engineering,CAH10-01-02,78.8,71.6,-7.2
England,All undergraduates,Production and manufacturing engineering,CAH10-01-03,77.6,71.6,-6
England,All undergraduates,Aeronautical and aerospace engineering,CAH10-01-04,78.1,71.2,-6.9
England,All undergraduates,"Bioengineering, medical and biomedical engineering",CAH10-01-06,80.4,76.2,-4.2
England,All undergraduates,Civil engineering,CAH10-01-07,80.9,75,-5.9
England,All undergraduates,Electrical and electronic engineering,CAH10-01-08,77.3,69.7,-7.6
England,All undergraduates,"Chemical, process and energy engineering",CAH10-01-09,82.3,78.1,-4.2
England,All undergraduates,Others in engineering,CAH10-01-10,87.9,81.7,-6.2
England,All undergraduates,Minerals technology,CAH10-03-01,85.3,80.4,-4.9
England,All undergraduates,Materials technology,CAH10-03-02,80,73.4,-6.6
