UKPRN,Provider name,Subject code,Subject,Question,Responses,Population,Option 1,Option 2,Option 3,Option 4,Positivity,Response Rate,Question Num,index1,Region
UK,UK,CAH01-01-01,Medical sciences (non-specific), How good are teaching staff at explaining things?,226.8,296.1,60.82,146.13,18.33,1.5,91.3,76.6,Q01,1,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How often do teaching staff make the subject engaging?,226.8,296.1,34.99,144.3,41.99,5.5,79.1,76.6,Q02,2,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How often is the course intellectually stimulating?,226.5,296.1,101.14,98.48,24.83,2.0,88.2,76.6,Q03,3,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How often does your course challenge you to achieve your best work?,226.8,296.1,97.63,98.82,28.33,2.0,86.6,76.6,Q04,4,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), To what extent have you had the chance to explore ideas and concepts in depth?,225.8,296.1,83.47,116.31,24.5,1.5,88.5,76.6,Q05,5,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well does your course introduce subjects and skills in a way that builds on what you have already learned?,226.8,296.1,71.32,114.14,37.49,3.83,81.8,76.6,Q06,6,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), To what extent have you had the chance to bring together information and ideas from different topics?,224.8,296.1,86.64,104.15,30.66,3.33,84.9,76.6,Q07,7,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), To what extent does your course have the right balance of directed and independent study?,225.8,296.1,75.48,106.64,35.16,8.5,80.7,76.6,Q08,8,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well has your course developed your knowledge and skills that you think you will need for your future?,225.8,296.1,69.32,108.14,40.49,7.83,78.6,76.6,Q09,9,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How clear were the marking criteria used to assess your work?,226.8,296.1,49.81,111.31,52.16,13.5,71.0,76.6,Q10,10,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How fair has the marking and assessment been on your course?,225.8,296.1,36.82,141.3,38.66,9.0,78.9,76.6,Q11,11,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well have assessments allowed you to demonstrate what you have learned?,226.8,296.1,38.15,121.97,56.66,10.0,70.6,76.6,Q12,12,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How often have you received assessment feedback on time?,226.8,296.1,37.49,99.3,63.99,26.0,60.3,76.6,Q13,13,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How often does feedback help you to improve your work?,226.8,296.1,30.32,82.97,78.16,35.33,50.0,76.6,Q14,14,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How easy was it to contact teaching staff when you needed to?,226.8,296.1,81.64,111.48,32.66,1.0,85.2,76.6,Q15,15,UK
