column,comp-rate,actual-val
UK,0.7,80.62
England,0.7,80.78
Northern Ireland,0.73,81.35
Scotland,0.7,79.35
Wales,0.73,80.5
Association of British Dispensing Opticians(The),0.81,84.87
AECC University College,0.74,65.78
Anglia Ruskin University Higher Education Corporation,0.75,77.69
Arts Educational Schools(The),0.87,83.64
"Arts University Bournemouth, the",0.74,78.59
Askham Bryan College,0.75,77.13
Barnet & Southgate College,0.64,94.77
Barnsley College,0.95,93.42
Bath Spa University,0.74,79.81
Bedford College,0.73,64.5
Belfast Bible College,0.69,78.76
University College Birmingham,0.75,83.42
Bishop Auckland College,0.92,97.67
Bishop Burton College,0.84,79.36
Blackburn College,0.76,85.6
Blackpool and the Fylde College,0.71,85.23
Boston College,0.74,78.35
Bournemouth University,0.74,77.86
Bradford College,0.86,86.21
Bridgwater and Taunton College,0.65,86.91
University of Brighton,0.77,78.14
BCNO Limited,0.87,71.07
University College of Osteopathy (The),0.64,73.09
Brockenhurst College,0.82,95.68
London South East Colleges,0.77,83.22
Brunel University London,0.69,78.77
Buckinghamshire New University,0.82,86.52
Burnley College,0.7,71.9
Burton and South Derbyshire College,0.78,95.94
Bury College,0.63,85.51
Calderdale College,0.71,93.87
Canterbury Christ Church University,0.71,77.97
Capel Manor College,0.81,67.77
Central School of Ballet Charitable Trust Limited(the),0.95,85.4
University of Northumbria at Newcastle,0.66,82.03
The Chicken Shed Theatre Trust,0.92,89.85
National Centre for Circus Arts,0.7,86.57
Bath College,0.74,84.61
City of Bristol College,0.61,85.8
City of Sunderland College,0.83,79.59
"City, University of London",0.7,77.72
The Northern School of Art,0.88,89.02
Community Music Limited,0.56,76.04
The College of Integrated Chinese Medicine,0.82,69.4
Cornwall College,0.79,76.35
Coventry University,0.7,83.02
CP Training Services Limited,0.68,61.33
Croydon College,0.81,86.43
Darlington College,0.86,88.79
De Montfort University,0.72,78.41
DCG,0.64,92.99
Doreen Bird College of Performing Arts Ltd.,0.7,69.79
Drama Studio London Limited,0.62,60.18
Central Bedfordshire College,0.87,63.8
The Windsor Forest Colleges Group,0.66,96.29
Farnborough College of Technology,0.85,81.53
Furness College,0.67,88.16
Glasgow School of Art,0.77,80.04
Goldsmiths' College,0.69,71.27
Riverside College,0.74,93.66
East Sussex College Group,0.7,67.26
Hereford College of Arts,0.86,87.08
"Herefordshire, Ludlow, and North Shropshire College",0.83,81.26
Hertford Regional College,0.83,91.88
Hopwood Hall College,0.98,79.43
Hugh Baird College,0.74,90.98
Hull College,0.98,64.43
HULT International Business School Ltd,0.56,82.76
ICON College of Technology and Management Ltd,0.8,84.28
"Imperial College of Science, Technology and Medicine",0.72,81.88
University of Winchester,0.65,76.65
King's College London,0.69,75.66
South Thames Colleges Group,0.78,89.58
Kingston University,0.76,80.54
Lamda Limited,0.88,87.05
Le Cordon Bleu Limited,0.69,70.94
Leeds Arts University,0.73,83.21
Leeds Beckett University,0.69,80.23
Leeds Trinity University,0.69,81.36
Leicester College,0.71,87.85
Lincoln College,0.91,78.3
The Liverpool Institute for Performing Arts,0.77,77.99
The City of Liverpool College,0.78,93.96
Liverpool Hope University,0.82,81.52
Liverpool John Moores University,0.73,81.57
LCA London Limited,0.71,82.51
Contemporary Dance Trust Limited,0.68,84.1
The Film Education Training Trust Limited,0.67,62.76
London Metropolitan University,0.85,82.58
Bloomsbury Institute Limited,0.84,91.15
The London School of Economics and Political Science,0.66,80.18
London School of Theology,0.86,84.89
London South Bank University,0.82,79.01
London Studio Centre Limited,0.76,86.61
Loughborough College,0.87,88.79
Loughborough University,0.76,84.4
East Coast College,0.8,89.98
Manchester Metropolitan University,0.76,81.2
The Metanoia Institute,0.83,83.47
Met Film Limited,0.72,60.53
Middlesbrough College,0.96,90.48
Middlesex University,0.78,81.17
Morley College Limited,0.89,94.44
Moulton College,0.65,73.39
Mountview Academy of Theatre Arts Limited,0.81,77.24
Myerscough College,0.77,73.86
Nazarene Theological College,0.9,89.72
Nelson and Colne College,0.77,83.88
New College Durham,0.84,76.28
New College Swindon,0.64,91.24
NCG,0.83,87.55
Newcastle and Stafford Colleges Group,0.98,85.63
Petroc,0.93,81.89
North East Surrey College of Technology (NESCOT),0.8,87.81
DN Colleges Group,0.72,87.44
North Warwickshire and South Leicestershire College,0.88,89.93
Northern College of Acupuncture,0.75,83.74
City College Norwich,0.73,78.32
Norwich University of the Arts,0.81,78.03
Nottingham Trent University,0.76,83.16
