column,comp-rate,actual-val
CAH01-01-01,0.76,78.47
CAH01-01-02,0.75,75.94
CAH01-01-03,0.8,79.43
CAH01-01-04,0.82,80.4
CAH02-02-01,0.76,80.55
CAH02-02-02,0.84,76.18
CAH02-02-03,0.74,78.81
CAH02-04-01,0.72,81.84
CAH02-04-02,0.75,76.15
CAH02-04-04,0.82,77.88
CAH02-04-05,0.77,75.5
CAH02-04-06,0.82,68.28
CAH02-04-07,0.76,76.9
CAH02-04-08,0.84,84.42
CAH02-04-09,0.63,80.79
CAH02-05-01,0.8,78.1
CAH02-05-02,0.72,82.67
CAH02-05-03,0.72,77.89
CAH02-05-04,0.72,77.82
CAH02-06-01,0.74,79.38
CAH02-06-02,0.79,81.04
CAH02-06-03,0.77,83.83
CAH02-06-04,0.81,81.91
CAH02-06-05,0.78,77.75
CAH02-06-06,0.77,78.09
CAH02-06-07,0.77,78.86
CAH03-01-01,0.69,81.66
CAH03-01-02,0.7,81.02
CAH03-01-03,0.72,80.36
CAH03-01-04,0.73,80.75
CAH03-01-05,0.73,79.96
CAH03-01-06,0.73,78.23
CAH03-01-07,0.76,81.08
CAH03-01-08,0.71,80.58
CAH03-01-09,0.83,89.62
CAH03-01-10,0.74,80.63
CAH03-02-01,0.71,84.47
CAH04-01-01,0.66,79.91
CAH04-01-02,0.72,81.11
CAH04-01-03,0.76,79.91
CAH04-01-04,0.74,79.7
CAH04-01-05,0.68,78.11
CAH05-01-01,0.87,81.53
CAH05-01-02,0.83,79.51
CAH06-01-01,0.77,76.87
CAH06-01-02,0.91,73.53
CAH06-01-03,0.76,78.71
CAH06-01-04,0.68,84.18
CAH06-01-05,0.67,74.58
CAH06-01-06,0.81,85.82
CAH06-01-07,0.78,85.08
CAH06-01-08,0.82,78.6
CAH07-01-01,0.68,81.25
CAH07-01-02,0.73,81.18
CAH07-02-01,0.71,80.97
CAH07-04-01,0.51,85.65
CAH07-04-02,0.73,79.65
CAH07-04-03,0.5,65.28
CAH07-04-04,0.67,80.98
CAH09-01-01,0.64,81.44
CAH09-01-02,0.76,87.1
CAH09-01-03,0.62,80.79
CAH10-01-01,0.6,78.16
CAH10-01-02,0.72,76.11
CAH10-01-03,0.73,76.51
CAH10-01-04,0.72,76.99
CAH10-01-05,0.64,75.95
CAH10-01-06,0.75,78.3
CAH10-01-07,0.75,80.26
CAH10-01-08,0.71,77.53
CAH10-01-09,0.74,78.45
CAH10-01-10,0.74,81.16
CAH10-03-01,0.74,83.07
CAH10-03-02,0.69,80.22
CAH10-03-03,0.68,91.59
CAH10-03-04,0.66,74.64
CAH10-03-05,0.61,74.65
CAH10-03-06,0.75,82.41
CAH10-03-07,0.64,81.66
CAH11-01-01,0.67,76.51
CAH11-01-02,0.51,80.31
CAH11-01-03,0.73,82.66
CAH11-01-04,0.7,77.5
CAH11-01-05,0.62,77.39
CAH11-01-06,0.75,78.76
CAH11-01-07,0.72,80.71
CAH11-01-08,0.73,80.36
CAH13-01-01,0.79,81.56
